Model,Family,Institute,Country,Type,Parents,Predecessor,"CMIP3 names","CMIP5 names","CMIP6 names","References (note: see the supplement for a list of references)"
MRI-AGCM3,"UCLA GCM",MRI,Japan,AGCM,,MRI-AGCM2,,,,
MRI-AGCM3.2,"UCLA GCM",MRI,Japan,AGCM,,MRI-AGCM3,,"MRI-AGCM3-2H,MRI-AGCM3-2S","MRI-AGCM3-2-H,MRI-AGCM3-2-S",
MRI-AGCM3.5,"UCLA GCM",MRI,Japan,AGCM,,MRI-AGCM3.2,,,,
MRI-CGCM2.3.2a,"UCLA GCM",MRI,Japan,AOGCM,MRI-AGCM2,,mri_cgcm2_3_2a,,,
MRI-CGCM3,"UCLA GCM",MRI,Japan,AOGCM,MRI-AGCM3,MRI-CGCM2.3.2a,,MRI-CGCM3,,"Yukimoto et al. (2012)"
MRI-ESM1,"UCLA GCM",MRI,Japan,ESM,MRI-CGCM3,,,MRI-ESM1,,"Adachi et al. (2013)"
MRI-ESM2.0,"UCLA GCM",MRI,Japan,ESM,MRI-AGCM3.5,MRI-ESM1,,,MRI-ESM2-0,"Yukimoto et al. (2019)"
HadAM3,HadAM,"UKMO/MOHC/KMA NIMR",UK,AGCM,,,,,,
HadGAM1,HadAM,"UKMO/MOHC/KMA NIMR",UK,AGCM,,HadAM3,,,,"Martin et al. (2006)"
HadGAM2,HadAM,"UKMO/MOHC/KMA NIMR",UK,AGCM,,HadGAM1,,,,"Martin et al. (2006)"
GA1,HadAM,"UKMO/MOHC/KMA NIMR",UK,AGCM,,HadGAM2,,,,
GA7.1,HadAM,"UKMO/MOHC/KMA NIMR",UK,AGCM,,GA1,,,,
HadCM3,HadAM,"UKMO/MOHC/KMA NIMR",UK,AOGCM,HadAM3,,ukmo_hadcm3,HadCM3,,"Martin et al. (2006)"
HadGEM1,HadAM,"UKMO/MOHC/KMA NIMR",UK,AOGCM,HadGAM1,HadCM3,ukmo_hadgem1,,,"Johns et al. (2006), Martin et al. (2006)"
HadGEM2,HadAM,"UKMO/MOHC/KMA NIMR",UK,AOGCM,HadGAM2,HadGEM1,,"HadGEM2-A,HadGEM2-AO,HadGEM2-CC,HadGEM2-ES",,
HadGEM3-GC3.1,HadAM,"UKMO/MOHC/KMA NIMR",UK,AOGCM,GA7.1,HadGEM2,,,"HadGEM3-GC31-HH,HadGEM3-GC31-HM,HadGEM3-GC31-LL,HadGEM3-GC31-LM,HadGEM3-GC31-MH,HadGEM3-GC31-MM","WCRP (2022): https://wcrp-cmip.github.io/CMIP6_CVs/docs/CMIP6_source_id.html"
UKESM1.0,HadAM,"UKMO/MOHC/KMA NIMR",UK,ESM,HadGEM3,,,,"UKESM1-0-LL,UKESM1-1-LL,UKESM1-ice-LL","Sellar et al. (2019)"
K-ACE1.0,HadAM,NIMS/KMA,"South Korea",ESM,HadGEM3,,,,KACE-1-0-G,"WCRP (2022): https://wcrp-cmip.github.io/CMIP6_CVs/docs/CMIP6_source_id.html"
ACCESS-CM,HadAM,CSIRO/QCCCE/UNSW/BOM/ARCCSS,Australia,AOGCM,HadGEM2,,,,,"Bi et al. (2013)"
ACCESS-CM2,HadAM,CSIRO/QCCCE/UNSW/BOM/ARCCSS,Australia,AOGCM,GA7.1,ACCESS-CM,,,ACCESS-CM2,"Bi et al. (2020)"
ACCESS1.0,HadAM,CSIRO/QCCCE/UNSW/BOM/ARCCSS,Australia,AOGCM,ACCESS-CM,,,ACCESS1-0,,"Bi et al. (2013)"
ACCESS1.3,HadAM,CSIRO/QCCCE/UNSW/BOM/ARCCSS,Australia,AOGCM,,ACCESS1.0,,ACCESS1-3,,"Bi et al. (2013)"
ACCESS1.4,HadAM,CSIRO/QCCCE/UNSW/BOM/ARCCSS,Australia,AOGCM,,ACCESS1.3,,,,"Ziehn et al. (2020)"
ACCESS-ESM1.5,HadAM,CSIRO/QCCCE/UNSW/BOM/ARCCSS,Australia,ESM,ACCESS1.4,,,,ACCESS-ESM1-5,"Ziehn et al. (2020)"
